salario_bruto,seniority,experiencia,nivel_estudios,estado_estudios,lenguajes,genero,es_dolarizado
3000000.0,Senior,15,,,".NET, C#, CSS, Go, HTML, Java, Javascript, SQL",Mujer Cis,True
5000000.0,Senior,25,,,".NET, C#, HTML, Javascript, SQL",Mujer Cis,True
4600000.0,Senior,7,Universitario,Completo,"Go, SQL",Mujer Cis,True
7800000.0,Senior,25,,,Ninguno de los anteriores,Hombre Cis,True
3500000.0,Semi-Senior,3,,,"Bash/Shell, Python",Hombre Cis,True
400000.0,Junior,1,Universitario,En curso,React Native,Hombre Cis,True
8460000.0,Senior,19,Universitario,En curso,".NET, C#, CSS, Go, HTML, Java, Javascript, SQL",Hombre Cis,True
6400000.0,Semi-Senior,4,Universitario,En curso,"Go, PHP, Python, SQL",Hombre Cis,True
3000000.0,Semi-Senior,5,Universitario,Completo,".NET, CSS, HTML, Javascript, Swift",Mujer Cis,True
6075000.0,Senior,7,,,Ninguno de los anteriores,Mujer Cis,True
11000000.0,Senior,29,,,"Javascript, SQL, TypeScript",Hombre Cis,True
2300000.0,Senior,7,,,Ninguno de los anteriores,Mujer Cis,True
9750000.0,Senior,16,Universitario,Incompleto,"Javascript, TypeScript",Hombre Cis,True
4800000.0,Senior,15,Universitario,Completo,Ninguno de los anteriores,Hombre Cis,True
650000.0,Semi-Senior,5,,,Ninguno de los anteriores,Mujer Cis,True
6000000.0,Semi-Senior,3,,,Python,Hombre Cis,True
3600000.0,Senior,12,Universitario,Completo,Bash/Shell,Hombre Cis,True
8589800.0,Senior,19,,,"Java, Python, Scala, Domain Specific Language",Hombre Cis,True
4000000.0,Senior,30,Terciario,Completo,".NET, C#, HTML, Java, PHP, Python, SQL, Ninguno de los anteriores",Hombre Cis,True
3000000.0,Semi-Senior,4,,,"Python, R, SQL",Hombre Cis,True
4500000.0,Senior,25,,,"COBOL, Python, SQL",Hombre Cis,True
7415000.0,Senior,9,,,Java,Hombre Cis,True
8000000.0,Semi-Senior,5,Doctorado,Incompleto,"HTML, Python",Hombre Cis,True
1800000.0,Semi-Senior,4,,,Javascript,Hombre Cis,True
3900000.0,Semi-Senior,5,,,"Python, Ninguno de los anteriores",Hombre Cis,True
4950000.0,Senior,7,,,Ninguno de los anteriores,Hombre Cis,True
4500000.0,Senior,9,Terciario,Completo,"Go, PHP, SQL",Hombre Cis,True
4098000.0,Senior,15,,,no aplica,Hombre Cis,True
10000000.0,Senior,6,Universitario,Completo,"C#, Javascript, Python, SQL, TypeScript",Hombre Cis,True
4250000.0,Senior,9,,,Ninguno de los anteriores,Hombre Cis,True
6300000.0,Senior,10,,,Python,Hombre Cis,True
5000000.0,Senior,15,Universitario,Completo,Python,Hombre Cis,True
3780000.0,Senior,8,Universitario,En curso,"Bash/Shell, CSS, HTML, Javascript, Python, R",Hombre Cis,True
17000000.0,Senior,26,Maestría,Completo,SQL,Hombre Cis,True
